Resolver	Tranco_num	Malicious_num	Malicious_same	Malicious_diff_rcode	Malicious_diff_a_pdns	Malicious_diff_a_private	Malicious_diff_a_self_sinkhole
92.100.38.191	48	4976	3007	1261	708	693	12	0	
92.82.192.217	46	4941	3439	133	1369	0	1	0	
93.119.150.245	32	3509	2421	73	1015	994	14	0	
92.115.107.83	49	4985	3510	101	1374	1355	14	0	
93.116.11.99	49	4972	3507	101	1364	1346	13	0	
92.115.73.69	48	4978	3502	101	1375	1355	15	0	
92.114.141.30	48	4980	3511	1073	396	376	15	0	
93.116.39.77	48	4975	4741	103	131	103	14	0	
93.116.191.207	48	4963	3498	102	1363	1345	13	0	
92.115.94.97	47	4982	3505	102	1375	1355	15	0	
93.116.14.79	48	4977	3489	105	1383	1355	14	0	
92.115.107.102	49	4962	3478	106	1378	1353	12	0	
93.116.44.251	48	4969	3491	104	1374	1355	14	0	
93.91.145.202	45	4498	1520	1275	1703	0	2	0	
93.115.136.157	47	4974	3497	102	1375	1355	15	0	
93.116.10.50	48	4971	3500	695	776	759	12	0	
93.91.154.183	49	4996	2977	1435	584	0	14	0	
92.46.220.115	49	4968	3384	1364	220	0	12	0	
94.127.63.11	49	4853	3235	1490	128	0	15	0	
93.89.102.177	48	4973	2757	1457	759	0	14	0	
92.86.27.82	46	4748	3271	142	1335	0	13	0	
92.106.41.168	47	4958	2341	1223	1394	2	0	0	
92.115.232.221	49	4980	3517	781	682	664	13	0	
92.104.63.84	48	4975	2355	1226	1394	2	1	0	
93.89.103.203	48	4968	2750	1460	758	0	12	0	
92.115.176.108	48	4961	3489	101	1371	1354	12	0	
93.119.163.40	48	4966	3489	102	1375	1355	15	0	
93.84.109.21	48	4979	2457	996	1526	0	4	0	
92.82.192.241	48	4874	3448	79	1347	0	15	0	
94.127.63.13	48	4976	3234	1616	126	0	14	0	
93.116.86.15	48	4978	3502	102	1374	1355	14	0	
92.86.249.26	47	4962	3455	147	1360	0	14	0	
93.116.166.17	48	4955	3481	103	1371	1352	14	0	
92.115.71.107	48	4968	3505	972	491	474	12	0	
92.114.194.88	48	4982	3506	102	1374	1355	14	0	
94.25.154.3	47	4769	3275	1326	168	0	13	0	
94.127.59.6	46	4966	3365	1471	130	0	13	0	
93.117.74.134	49	4967	3496	102	1369	1349	15	0	
94.127.59.15	48	4977	3245	1574	158	0	12	0	
93.116.217.72	48	4981	3504	103	1374	1355	14	0	
92.115.145.25	48	4952	3481	102	1369	1352	12	0	
92.115.243.90	48	4968	3494	101	1373	1355	13	0	
92.115.109.48	48	4976	3502	101	1373	1355	13	0	
92.45.23.169	48	4974	265	1259	3450	0	0	0	
92.115.182.42	47	4844	3406	1119	319	303	11	0	
92.86.27.91	49	4924	3440	110	1374	0	0	0	
